[2025-03-29 18:04:45,271: INFO: main: Welcome to Logs]
[2025-03-31 18:05:38,082: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:05:38,096: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:05:38,103: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:06:18,801: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:06:18,806: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:06:18,810: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:08:07,855: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:08:07,858: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:08:07,864: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:11:29,948: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:11:29,952: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:11:29,955: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:12:32,155: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:12:32,158: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:12:32,160: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:12:51,226: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:12:51,230: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:12:51,233: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:13:25,700: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:13:25,702: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:13:25,706: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:13:37,551: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:13:37,555: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:13:37,558: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:13:48,235: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:13:48,238: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:13:48,239: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:14:11,404: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:14:11,407: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:14:11,408: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:14:30,277: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:14:30,281: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:14:30,283: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:14:30,696: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-03-31 18:15:13,099: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:15:13,101: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:15:13,103: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:15:13,524: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-03-31 18:37:14,581: INFO: main: >>>>>> STAGE Data Ingestion stage STARTED <<<<<<]
[2025-03-31 18:37:14,583: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:37:14,585: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:37:14,585: INFO: common: created directory at: artifacts]
[2025-03-31 18:37:14,586: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-31 18:37:41,191: INFO: main: >>>>>> STAGE Data Ingestion stage COMPLETED <<<<<< 

x=================x]
[2025-03-31 18:37:41,192: INFO: main: >>>>>> STAGE PREPARE BASE MODEL STARTED <<<<<<]
[2025-03-31 18:37:41,194: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-31 18:37:41,196: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-31 18:37:41,197: INFO: common: created directory at: artifacts]
[2025-03-31 18:37:41,197: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-03-31 18:37:41,868: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-03-31 18:37:42,213: INFO: main: >>>>>> STAGE PREPARE BASE MODEL COMPLETED <<<<<< 

x=================x]
